DATE,AAPL,IBM,TSLA,RM
1990/1/10,-0.043189,-0.003774,,-0.006607
1990/1/11,-0.041667,0.008838,,0.003513
1990/1/12,0,-0.020025,,-0.024675
1990/1/15,-0.007246,0.002554,,-0.008619
1990/1/16,0.018248,0.020382,,0.011128
1990/1/17,-0.046595,-0.012484,,-0.009831
1990/1/18,-0.026316,0.006321,,0.002341
1990/1/19,0.057915,-0.008794,,0.002839
1990/1/2,0.056738,0.041169,,0.017799
1990/1/22,-0.029197,-0.020279,,-0.025859
1990/1/23,0.015038,0.001294,,0.003723
1990/1/24,0.007407,0.007752,,-0.004071
1990/1/25,0.003676,-0.016667,,-0.012657
1990/1/26,-0.040293,0.01043,,-0.000859
1990/1/29,0.015267,0.003871,,-0.001842
1990/1/3,0.006711,0.008929,,-0.002586
1990/1/30,0.022556,0,,-0.006827
1990/1/31,0,0.014139,,0.018887
1990/1/4,0.003333,0.011378,,-0.008613
1990/1/5,0.003322,-0.0025,,-0.009756
1990/1/8,0.006623,0.006266,,0.004514
1990/1/9,-0.009868,-0.009963,,-0.011787
1990/10/1,0.051724,0.024677,,0.029048
1990/10/10,-0.053571,-0.017794,,-0.015438
1990/10/11,0.04717,-0.024155,,-0.016412
1990/10/12,0.018018,-0.007426,,0.015467
1990/10/15,-0.017699,-0.009975,,0.010666
1990/10/16,-0.099099,0.001259,,-0.014214
1990/10/17,0.06,0.013836,,-0.000535
1990/10/18,0.075472,0.045906,,0.023363
1990/10/19,0.100877,0.021352,,0.022045
1990/10/2,-0.028689,-0.006881,,0.000857
1990/10/22,-0.007968,0.001161,,0.007296
1990/10/23,-0.004016,-0.009281,,-0.007625
1990/10/24,-0.016129,0.017564,,0.000768
1990/10/25,-0.016393,-0.004603,,-0.007774
1990/10/26,0,-0.013873,,-0.017603
1990/10/29,-0.004167,-0.005862,,-0.009288
1990/10/3,-0.088608,-0.008083,,-0.012087
1990/10/30,0.016736,0.003538,,0.007221
1990/10/31,0.012346,-0.009401,,-0.000197
1990/10/4,0.037037,0.004657,,0.004143
1990/10/5,0,0.003476,,-0.003806
1990/10/8,0.040179,0.011547,,0.006356
1990/10/9,-0.038627,-0.037671,,-0.026732
1990/11/1,-0.00813,0.017794,,0.009934
1990/11/12,0.021127,0.024943,,0.018295
1990/11/13,-0.006897,-0.00885,,-0.005665
1990/11/14,0.027778,0.013393,,0.008594
1990/11/15,-0.027027,-0.007709,,-0.010549
1990/11/16,-0.020972,0.008879,,0.000315
1990/11/19,0.035587,0.009901,,0.007001
1990/11/2,0.040984,0.01049,,0.015732
1990/11/20,-0.024055,-0.011983,,-0.01262
1990/11/21,0.017606,0.006615,,0.002283
1990/11/23,0.00692,-0.013143,,-0.002943
1990/11/26,0.010309,0.011099,,0.004475
1990/11/27,0.020408,-0.003293,,0.005024
1990/11/28,-0.02,-0.009912,,-0.000472
1990/11/29,0,-0.003337,,-0.004812
1990/11/30,0,0.014509,,0.01833
1990/11/5,0.047244,0.006551,,0.008786
1990/11/6,0.007519,0,,-0.009441
1990/11/7,-0.007463,-0.012746,,-0.018003
1990/11/8,0.037594,0.00939,,0.005229
1990/11/9,0.028986,0.025581,,0.019928
1990/12/10,-0.017647,0.007778,,0.003478
1990/12/11,-0.041916,-0.00441,,-0.007449
1990/12/12,-0.009375,0.013289,,0.011488
1990/12/13,0.028391,-0.013115,,-0.002574
1990/12/14,-0.021472,-0.014396,,-0.007652
1990/12/17,0.00627,0.002247,,-0.002448
1990/12/18,0.05296,0.017937,,0.012361
1990/12/19,-0.008876,-0.006608,,0.000454
1990/12/20,0.050746,0.008869,,-0.000242
1990/12/21,0.022727,0.001099,,0.004938
1990/12/24,-0.022222,0,,-0.005576
1990/12/26,-0.005682,-0.003293,,0.00288
1990/12/27,-0.005714,0.001101,,-0.007738
1990/12/28,-0.011494,-0.0022,,0.00131
1990/12/3,0.037415,-0.0022,,0.005835
1990/12/31,0,-0.003308,,0.004563
1990/12/4,0.009836,0.012128,,0.006942
1990/12/5,0.042208,-0.001089,,0.010939
1990/12/6,0.028037,-0.027263,,-0.002576
1990/12/7,0.030303,0.008969,,-0.004011
1990/2/1,-0.011029,-0.008872,,-0.000881
1990/2/12,-0.007299,-0.013415,,-0.010611
1990/2/13,0.014706,0.021014,,0.002848
1990/2/14,-0.007246,0.004843,,0.002991
1990/2/15,0,0,,0.008674
1990/2/16,-0.011387,-0.00241,,-0.00648
1990/2/2,0.018587,0.006394,,0.006478
1990/2/20,-0.007407,-0.006039,,-0.014216
1990/2/21,0.014925,0.019441,,-0.000976
1990/2/22,-0.029412,-0.015495,,-0.006012
1990/2/23,0.007576,-0.006053,,-0.004759
1990/2/26,0.022556,0.013398,,0.013944
1990/2/27,-0.014706,-0.002404,,0.004838
1990/2/28,0.014925,0.001205,,0.004936
1990/2/5,0.021898,0.025006,,0.00281
1990/2/6,-0.007143,0.013802,,-0.006599
1990/2/7,-0.043165,0.02104,,0.012407
1990/2/8,-0.007519,-0.003636,,-0.002367
